cohort,score_key,layer,condition_token_mean,condition_token_max,full_token_max,full_token_topk_mean,full_token_mean,num_units
rheumatoid_arthritis,rewrite_scores,10,0.0001473308450752689,0.0001473308450752689,0.0008456050868957273,0.00015035956216755738,3.066116644106721e-05,31
rheumatoid_arthritis,rewrite_scores,11,2.208592430237801e-05,2.208592430237801e-05,0.00030956201014980194,5.926183795416226e-05,-3.7958025450070485e-06,31
rheumatoid_arthritis,rewrite_scores,12,6.300295072217142e-05,6.300295072217142e-05,0.0040788010003105285,0.0004229219770559701,0.00010993848269630372,31
rheumatoid_arthritis,rewrite_scores,13,0.00013635103260317157,0.00013635103260317157,0.00029539905728832367,7.494009870995758e-05,3.763207956106516e-06,31
rheumatoid_arthritis,rewrite_scores,14,-2.8741515932544586e-05,-2.8741515932544586e-05,0.0021787523742645017,0.00029588356934567926,7.63059382177725e-05,31
rheumatoid_arthritis,rewrite_scores,15,-3.0178336366530388e-05,-3.0178336366530388e-05,0.00042846258128843,8.694486672519355e-05,1.2733422657573941e-05,31
rheumatoid_arthritis,rewrite_scores,16,-1.747918225103809e-05,-1.747918225103809e-05,0.0003762980622629965,7.378232655345753e-05,1.0449409699258486e-05,31
rheumatoid_arthritis,rewrite_scores,17,2.341224781928524e-06,2.341224781928524e-06,0.005348535314682991,0.00042141950338758446,9.926295494481135e-05,31
rheumatoid_arthritis,rewrite_scores,18,0.011543962263291883,0.011543962263291883,0.08033834734270649,0.009399085576015133,0.00269402123096545,31
rheumatoid_arthritis,rewrite_scores,19,0.0005884984087559485,0.0005884984087559485,0.0718394556353169,0.00577110777138382,0.0016421689966067247,31
rheumatoid_arthritis,rewrite_scores,20,-9.596591154413838e-05,-9.596591154413838e-05,0.0024431597801946826,0.000164736214504447,2.322109066248565e-05,31
rheumatoid_arthritis,rewrite_scores,21,4.037926273961221e-05,4.037926273961221e-05,0.1413849861391129,0.009504826002383747,0.002711500472451539,31
rheumatoid_arthritis,rewrite_scores,22,-1.6754673373314644e-05,-1.6754673373314644e-05,0.0001438586942611202,1.4199717070466731e-05,-2.5763817240197335e-06,31
rheumatoid_arthritis,rewrite_scores,23,-3.4700478276898785e-06,-3.4700478276898785e-06,0.0007063313837974302,5.115900308855118e-05,8.546522047331873e-06,31
rheumatoid_arthritis,rewrite_scores,24,-4.835667148713142e-06,-4.835667148713142e-06,0.0005390657292258355,4.0374796396942544e-05,7.5571689352134395e-06,31
rheumatoid_arthritis,rewrite_scores,25,-1.910232728527438e-06,-1.910232728527438e-06,8.90250648221662e-05,8.515232513027807e-06,4.775629993383231e-07,31
rheumatoid_arthritis,rewrite_scores,26,-6.998738934916835e-07,-6.998738934916835e-07,0.005139031717854161,0.0003465399867103946,9.800942210912457e-05,31
rheumatoid_arthritis,rewrite_scores,27,0.0,0.0,0.0028602846207157256,0.0001906856413810484,5.453054209395639e-05,31
sarcoidosis,rewrite_scores,0,0.389556884765625,0.389556884765625,1.0,0.9876281081989248,0.5752573524996281,31
sarcoidosis,rewrite_scores,1,0.014662742614746094,0.014662742614746094,0.02005420192595451,0.0055827817609233246,0.00139169876653143,31
sarcoidosis,rewrite_scores,2,0.0441436767578125,0.0441436767578125,1.0,0.4846958673128518,0.14081945008760238,31
sarcoidosis,rewrite_scores,3,-0.004179447889328003,-0.004179447889328003,0.021416079613470262,0.004817218165243825,0.0007339398964346549,31
sarcoidosis,rewrite_scores,4,-0.0008276700973510742,-0.0008276700973510742,0.15864218434979838,0.016906655219293406,0.004816498317514299,31
sarcoidosis,rewrite_scores,5,0.01940464973449707,0.01940464973449707,0.01459718519641507,0.00504507864675214,0.0011808269848035896,31
sarcoidosis,rewrite_scores,6,0.027703285217285156,0.027703285217285156,0.1033202140561996,0.01893498513006395,0.00553037238012957,31
sarcoidosis,rewrite_scores,7,0.015787601470947266,0.015787601470947266,0.26035813362367694,0.033116239117037864,0.009316806212940634,31
sarcoidosis,rewrite_scores,8,0.013226509094238281,0.013226509094238281,0.0491279786632907,0.007849396941482381,0.0020837980975259287,31
sarcoidosis,rewrite_scores,9,0.0017781257629394531,0.0017781257629394531,0.01609817627937563,0.004399163235900224,0.0008376363927112325,31
sarcoidosis,rewrite_scores,10,0.0028891563415527344,0.0028891563415527344,0.14293732181672128,0.014734395345052085,0.004079104278405593,31
sarcoidosis,rewrite_scores,11,0.009385466575622559,0.009385466575622559,0.010341398177608367,0.003303456050093457,0.0004973932818050695,31
sarcoidosis,rewrite_scores,12,0.008389949798583984,0.008389949798583984,0.04407082834551411,0.009021644182102655,0.0025453311324413635,31
sarcoidosis,rewrite_scores,13,0.0035780668258666992,0.0035780668258666992,0.024781380930254535,0.005961076674922819,0.0015995078731252438,31
sarcoidosis,rewrite_scores,14,0.00030040740966796875,0.00030040740966796875,0.059071510068831906,0.011619398670811808,0.0035814511001099024,31
sarcoidosis,rewrite_scores,15,-0.0015759468078613281,-0.0015759468078613281,0.027709468718497984,0.0048735028953962424,0.0012954254690065905,31
sarcoidosis,rewrite_scores,16,-0.0009334087371826172,-0.0009334087371826172,0.012590469852570564,0.002679321842808877,0.00032449084357123807,31
sarcoidosis,rewrite_scores,17,0.0009982585906982422,0.0009982585906982422,0.17690350932459678,0.015855180576283448,0.004244110535129061,31
sarcoidosis,rewrite_scores,18,0.19019222259521484,0.19019222259521484,0.42277994463520663,0.08534173247634723,0.02530305626874474,31
sarcoidosis,rewrite_scores,19,0.03098154067993164,0.03098154067993164,0.47358555947580644,0.05128010062761204,0.014986880304247285,31
sarcoidosis,rewrite_scores,20,-0.0065424442291259766,-0.0065424442291259766,0.057198309129284274,0.004314508745747229,0.000262827528697743,31
sarcoidosis,rewrite_scores,21,0.007128238677978516,0.007128238677978516,0.2789952985702022,0.021655840514808573,0.006151180281515269,31
sarcoidosis,rewrite_scores,22,-0.001148223876953125,-0.001148223876953125,0.0009474292878181704,0.00040473937988281253,-0.00021144867551241444,31
sarcoidosis,rewrite_scores,23,-0.00110626220703125,-0.00110626220703125,0.010819035191689768,0.0011263467932260162,0.00017982681154857585,31
sarcoidosis,rewrite_scores,24,1.1920928955078125e-05,1.1920928955078125e-05,0.007005353127756427,0.0008676693003664734,0.00014061547189486685,31
sarcoidosis,rewrite_scores,25,0.0005965232849121094,0.0005965232849121094,0.0012608497373519404,0.0004236005967663181,3.657778845773698e-05,31
sarcoidosis,rewrite_scores,26,-0.00011777877807617188,-0.00011777877807617188,0.036370400459535664,0.002760669749270204,0.0007290212446451692,31
sarcoidosis,rewrite_scores,27,0.0,0.0,0.02452164311562815,0.0016347762077085434,0.0004696800120983671,31
