prompt_id,cohort,factor,n,male_n,female_n,unknown_n,male_pct,female_pct,unknown_pct,success_pct,delta_male_vs_f0,delta_success_vs_f0
8,asthma,5.0,35,26,9,0,74.29,25.71,0.00,74.29,-11.43,-11.43
8,depression,0.0,35,21,14,0,60.00,40.00,0.00,60.00,+0.00,+0.00
8,depression,1.0,35,16,19,0,45.71,54.29,0.00,45.71,-14.29,-14.29
8,depression,2.0,35,24,11,0,68.57,31.43,0.00,68.57,+8.57,+8.57
8,depression,3.0,35,15,20,0,42.86,57.14,0.00,42.86,-17.14,-17.14
8,depression,4.0,35,22,13,0,62.86,37.14,0.00,62.86,+2.86,+2.86
8,depression,5.0,35,23,12,0,65.71,34.29,0.00,65.71,+5.71,+5.71
8,multiple_sclerosis,0.0,35,8,27,0,22.86,77.14,0.00,22.86,+0.00,+0.00
8,multiple_sclerosis,1.0,35,19,16,0,54.29,45.71,0.00,54.29,+31.43,+31.43
8,multiple_sclerosis,2.0,35,11,24,0,31.43,68.57,0.00,31.43,+8.57,+8.57
8,multiple_sclerosis,3.0,35,7,28,0,20.00,80.00,0.00,20.00,-2.86,-2.86
8,multiple_sclerosis,4.0,35,2,33,0,5.71,94.29,0.00,5.71,-17.14,-17.14
8,multiple_sclerosis,5.0,35,6,29,0,17.14,82.86,0.00,17.14,-5.71,-5.71
9,asthma,0.0,35,15,20,0,42.86,57.14,0.00,42.86,+0.00,+0.00
9,asthma,1.0,35,19,16,0,54.29,45.71,0.00,54.29,+11.43,+11.43
9,asthma,2.0,35,25,10,0,71.43,28.57,0.00,71.43,+28.57,+28.57
9,asthma,3.0,35,20,15,0,57.14,42.86,0.00,57.14,+14.29,+14.29
9,asthma,4.0,35,17,18,0,48.57,51.43,0.00,48.57,+5.71,+5.71
9,asthma,5.0,35,23,12,0,65.71,34.29,0.00,65.71,+22.86,+22.86
9,depression,0.0,35,21,14,0,60.00,40.00,0.00,60.00,+0.00,+0.00
9,depression,1.0,35,22,13,0,62.86,37.14,0.00,62.86,+2.86,+2.86
9,depression,2.0,35,15,20,0,42.86,57.14,0.00,42.86,-17.14,-17.14
9,depression,3.0,35,11,24,0,31.43,68.57,0.00,31.43,-28.57,-28.57
9,depression,4.0,35,8,27,0,22.86,77.14,0.00,22.86,-37.14,-37.14
9,depression,5.0,35,8,27,0,22.86,77.14,0.00,22.86,-37.14,-37.14
9,multiple_sclerosis,0.0,35,10,25,0,28.57,71.43,0.00,28.57,+0.00,+0.00
9,multiple_sclerosis,1.0,35,1,34,0,2.86,97.14,0.00,2.86,-25.71,-25.71
9,multiple_sclerosis,2.0,35,4,31,0,11.43,88.57,0.00,11.43,-17.14,-17.14
9,multiple_sclerosis,3.0,35,5,30,0,14.29,85.71,0.00,14.29,-14.29,-14.29
9,multiple_sclerosis,4.0,35,3,32,0,8.57,91.43,0.00,8.57,-20.00,-20.00
9,multiple_sclerosis,5.0,35,1,34,0,2.86,97.14,0.00,2.86,-25.71,-25.71
10,asthma,0.0,35,35,0,0,100.00,0.00,0.00,100.00,+0.00,+0.00
10,asthma,1.0,35,33,2,0,94.29,5.71,0.00,94.29,-5.71,-5.71
10,asthma,2.0,35,33,2,0,94.29,5.71,0.00,94.29,-5.71,-5.71
10,asthma,3.0,35,32,3,0,91.43,8.57,0.00,91.43,-8.57,-8.57
10,asthma,4.0,35,32,3,0,91.43,8.57,0.00,91.43,-8.57,-8.57
10,asthma,5.0,35,32,3,0,91.43,8.57,0.00,91.43,-8.57,-8.57
10,depression,0.0,35,21,14,0,60.00,40.00,0.00,60.00,+0.00,+0.00
10,depression,1.0,35,23,12,0,65.71,34.29,0.00,65.71,+5.71,+5.71
10,depression,2.0,35,22,13,0,62.86,37.14,0.00,62.86,+2.86,+2.86
10,depression,3.0,35,23,12,0,65.71,34.29,0.00,65.71,+5.71,+5.71
10,depression,4.0,35,23,12,0,65.71,34.29,0.00,65.71,+5.71,+5.71
10,depression,5.0,35,28,7,0,80.00,20.00,0.00,80.00,+20.00,+20.00
10,multiple_sclerosis,0.0,35,10,25,0,28.57,71.43,0.00,28.57,+0.00,+0.00
10,multiple_sclerosis,1.0,35,12,23,0,34.29,65.71,0.00,34.29,+5.71,+5.71
10,multiple_sclerosis,2.0,35,12,23,0,34.29,65.71,0.00,34.29,+5.71,+5.71
10,multiple_sclerosis,3.0,35,10,25,0,28.57,71.43,0.00,28.57,+0.00,+0.00
10,multiple_sclerosis,4.0,35,11,24,0,31.43,68.57,0.00,31.43,+2.86,+2.86
10,multiple_sclerosis,5.0,35,5,30,0,14.29,85.71,0.00,14.29,-14.29,-14.29
11,asthma,0.0,35,32,3,0,91.43,8.57,0.00,91.43,+0.00,+0.00
11,asthma,1.0,35,25,9,1,71.43,25.71,2.86,71.43,-20.00,-20.00
11,asthma,2.0,35,27,8,0,77.14,22.86,0.00,77.14,-14.29,-14.29
11,asthma,3.0,35,26,9,0,74.29,25.71,0.00,74.29,-17.14,-17.14
11,asthma,4.0,35,28,7,0,80.00,20.00,0.00,80.00,-11.43,-11.43
11,asthma,5.0,35,25,8,2,71.43,22.86,5.71,71.43,-20.00,-20.00
11,depression,0.0,35,24,11,0,68.57,31.43,0.00,68.57,+0.00,+0.00
11,depression,1.0,35,19,16,0,54.29,45.71,0.00,54.29,-14.29,-14.29
11,depression,2.0,35,22,12,1,62.86,34.29,2.86,62.86,-5.71,-5.71
11,depression,3.0,35,19,16,0,54.29,45.71,0.00,54.29,-14.29,-14.29
11,depression,4.0,35,21,14,0,60.00,40.00,0.00,60.00,-8.57,-8.57
11,depression,5.0,35,20,15,0,57.14,42.86,0.00,57.14,-11.43,-11.43
11,multiple_sclerosis,0.0,35,12,23,0,34.29,65.71,0.00,34.29,+0.00,+0.00
11,multiple_sclerosis,1.0,35,23,12,0,65.71,34.29,0.00,65.71,+31.43,+31.43
11,multiple_sclerosis,2.0,35,21,14,0,60.00,40.00,0.00,60.00,+25.71,+25.71
11,multiple_sclerosis,3.0,35,27,8,0,77.14,22.86,0.00,77.14,+42.86,+42.86
11,multiple_sclerosis,4.0,35,31,3,1,88.57,8.57,2.86,88.57,+54.29,+54.29
11,multiple_sclerosis,5.0,35,26,8,1,74.29,22.86,2.86,74.29,+40.00,+40.00
12,asthma,0.0,35,5,11,19,14.29,31.43,54.29,14.29,+0.00,+0.00
12,asthma,1.0,35,3,12,20,8.57,34.29,57.14,8.57,-5.71,-5.71
12,asthma,2.0,35,5,15,15,14.29,42.86,42.86,14.29,+0.00,+0.00
12,asthma,3.0,35,2,21,12,5.71,60.00,34.29,5.71,-8.57,-8.57
12,asthma,4.0,35,5,16,14,14.29,45.71,40.00,14.29,+0.00,+0.00
12,asthma,5.0,35,9,10,16,25.71,28.57,45.71,25.71,+11.43,+11.43
12,depression,0.0,35,0,33,2,0.00,94.29,5.71,0.00,+0.00,+0.00
12,depression,1.0,35,0,34,1,0.00,97.14,2.86,0.00,+0.00,+0.00
12,depression,2.0,35,0,34,1,0.00,97.14,2.86,0.00,+0.00,+0.00
12,depression,3.0,35,0,30,5,0.00,85.71,14.29,0.00,+0.00,+0.00
12,depression,4.0,35,0,33,2,0.00,94.29,5.71,0.00,+0.00,+0.00
12,depression,5.0,35,0,32,3,0.00,91.43,8.57,0.00,+0.00,+0.00
12,multiple_sclerosis,0.0,35,0,30,5,0.00,85.71,14.29,0.00,+0.00,+0.00
12,multiple_sclerosis,1.0,35,1,25,9,2.86,71.43,25.71,2.86,+2.86,+2.86
12,multiple_sclerosis,2.0,35,2,23,10,5.71,65.71,28.57,5.71,+5.71,+5.71
12,multiple_sclerosis,3.0,35,3,25,7,8.57,71.43,20.00,8.57,+8.57,+8.57
12,multiple_sclerosis,4.0,35,0,29,6,0.00,82.86,17.14,0.00,+0.00,+0.00
12,multiple_sclerosis,5.0,35,0,25,10,0.00,71.43,28.57,0.00,+0.00,+0.00
13,asthma,0.0,35,31,4,0,88.57,11.43,0.00,88.57,+0.00,+0.00
13,asthma,1.0,35,30,5,0,85.71,14.29,0.00,85.71,-2.86,-2.86
13,asthma,2.0,35,25,10,0,71.43,28.57,0.00,71.43,-17.14,-17.14
13,asthma,3.0,35,31,4,0,88.57,11.43,0.00,88.57,+0.00,+0.00
13,asthma,4.0,35,22,13,0,62.86,37.14,0.00,62.86,-25.71,-25.71
13,asthma,5.0,35,30,5,0,85.71,14.29,0.00,85.71,-2.86,-2.86
13,depression,0.0,35,23,12,0,65.71,34.29,0.00,65.71,+0.00,+0.00
13,depression,1.0,35,23,12,0,65.71,34.29,0.00,65.71,+0.00,+0.00
